"1","Brasforma Industria e Comercio Ltda","278570/01",NULL,"2025-10-08",NULL,NULL,"9405.58","Pago","Ref. a NF nº 278570","Importação PDF"
"2","Brasforma Industria e Comercio Ltda","279435/01",NULL,"2025-10-25",NULL,NULL,"6375.60","Pago","Ref. a NF nº 279435","Importação PDF"
"3","Brasforma Industria e Comercio Ltda","279582/01",NULL,"2025-10-29",NULL,NULL,"4504.25","Pago","Ref. a NF nº 279582","Importação PDF"
"4","Brasforma Industria e Comercio Ltda","279763/01",NULL,"2025-10-31",NULL,NULL,"4281.06","Pago","Ref. a NF nº 279763","Importação PDF"
"5","Brasforma Industria e Comercio Ltda","279894/01",NULL,"2025-11-02",NULL,NULL,"1343.08","Pago","Ref. a NF nº 279894","Importação PDF"
"6","Brasforma Industria e Comercio Ltda","279898/01",NULL,"2025-11-02",NULL,NULL,"4443.60","Pago","Ref. a NF nº 279898","Importação PDF"
"7","Brasforma Industria e Comercio Ltda","278570/02",NULL,"2025-11-07",NULL,NULL,"8570.00","Pago","Ref. a NF nº 278570","Importação PDF"
"8","Brasforma Industria e Comercio Ltda","280400/01",NULL,"2025-11-14",NULL,NULL,"953.23","Pago","Ref. a NF nº 280400 - boletos recalculados (antes 4 parcelas, agora 2 parcelas)","Importação PDF"
"9","Brasforma Industria e Comercio Ltda","279435/02",NULL,"2025-11-24",NULL,NULL,"5796.00","Pago","Ref. a NF nº 279435","Importação PDF"
"10","Brasforma Industria e Comercio Ltda","279582/02",NULL,"2025-11-28",NULL,NULL,"3753.54","Pago","Ref. a NF nº 279582","Importação PDF"
"11","Brasforma Industria e Comercio Ltda","281061/01",NULL,"2025-11-28",NULL,NULL,"3564.00","Pago","Ref. a NF nº 281061","Importação PDF"
"12","Brasforma Industria e Comercio Ltda","281058/01",NULL,"2025-11-28",NULL,NULL,"3628.80","Pago","Ref. a NF nº 281058","Importação PDF"
"13","Brasforma Industria e Comercio Ltda","279898/02",NULL,"2025-12-02",NULL,NULL,"3864.00","Pago","Ref. a NF nº 279898","Importação PDF"
"41","Colecao Industria e Comercio LTDA.","190825/01",NULL,"2025-10-26",NULL,NULL,"721.92","Pago","Ref. a NF nº 190825","Importação PDF"
"42","Colecao Industria e Comercio LTDA.","190825/02",NULL,"2025-11-25",NULL,NULL,"721.92","Pago","Ref. a NF nº 190825","Importação PDF"
"43","Colecao Industria e Comercio LTDA.","190825/03",NULL,"2025-12-25",NULL,NULL,"721.92","Pago","Ref. a NF nº 190825","Importação PDF"
"44","Colecao Industria e Comercio LTDA.","190825/04",NULL,"2026-01-24",NULL,NULL,"721.93","Pago","Ref. a NF nº 190825","Importação PDF"
"45","ELGIN DISTRIBUIDORA LTDA","343319/01",NULL,"2025-11-18",NULL,NULL,"4658.98","Pago","Ref. a NF nº 343319","Importação PDF"
"46","ELGIN DISTRIBUIDORA LTDA","343319/02",NULL,"2025-12-18",NULL,NULL,"4658.98","Pago","Ref. a NF nº 343319","Importação PDF"
"47","ELGIN DISTRIBUIDORA LTDA","350383/01",NULL,"2025-12-21",NULL,NULL,"3008.78","Em aberto","Ref. a NF nº 350383","Importação PDF"
"48","ELGIN DISTRIBUIDORA LTDA","350296/01",NULL,"2025-12-21",NULL,NULL,"3008.78","Em aberto","Ref. a NF nº 350296","Importação PDF"
"49","ELGIN DISTRIBUIDORA LTDA","343319/03",NULL,"2026-01-17",NULL,NULL,"4658.98","Pago","Ref. a NF nº 343319","Importação PDF"
"50","ELGIN DISTRIBUIDORA LTDA","350296/02",NULL,"2026-01-20",NULL,NULL,"3008.60","Em aberto","Ref. a NF nº 350296","Importação PDF"
"51","ELGIN DISTRIBUIDORA LTDA","350383/02",NULL,"2026-01-20",NULL,NULL,"3008.60","Em aberto","Ref. a NF nº 350383","Importação PDF"
"52","ELGIN DISTRIBUIDORA LTDA","343319/04",NULL,"2026-02-16",NULL,NULL,"4658.96","Pago","Ref. a NF nº 343319","Importação PDF"
"53","ELGIN DISTRIBUIDORA LTDA","350296/03",NULL,"2026-02-19",NULL,NULL,"3008.50","Em aberto","Ref. a NF nº 350296","Importação PDF"
"54","ELGIN DISTRIBUIDORA LTDA","350383/03",NULL,"2026-02-19",NULL,NULL,"3008.50","Em aberto","Ref. a NF nº 350383","Importação PDF"
